Unnamed: 0	제목	가수	가사
67	Weekend	태연 (TAEYEON)	"가장 가까운 바다
혼자만의 영화관
그냥 이끌리는 대로 해도 괜찮으니까
Every morning 울린
Beep beep beep beep 소리
귀에 윙윙윙 맴도는
나를 재촉하던 모닝콜 없이 일어나
Cheese cake 한 입
유리컵 한가득
내린 커피 한 잔
아이스로 할래 아주 여유롭게
문득 시곌 보니
벌써 시간은 열두시
그래도 아주 느긋해
그리곤 하품 한 번
한껏 기지개도 켜고
생각해 오늘 뭐 할까
창문 너머 계절에 시선이 닿은 그 순간
쏟아지는 햇살 내 맘을 두드려
내게 손짓하는 싱그러운 바람 타고서
떠나볼래 When the weekend comes
I can do whatever I want
바람 따라 흩어진 cloud
더 자유롭게 we can go
가장 가까운 바다
혼자만의 영화관
그냥 이끌리는 대로 해도 괜찮으니까
훌쩍 떠나보는 drive
뚜벅 걸어도 좋아
뭐든 발길 닿는 대로 지금 떠나보려 해 oh
하루쯤 세상의 얘길 무시한 채
내가 나의 하루를 조립해 보려 해
더는 no no stress 고민 안 할래
Move it right left right 내 맘대로
가본 적도 없는 길 뭐가 있든지
I don’t need a map
when I roll the streets
이어 가보는 이윤 for a little fun
계속 up up up 좀 더 올라가
한쪽 길모퉁이 따라 맘대로 자라난
조그만 이름 모를 꽃
한참을 바라보다 뜨거운 햇살을 피해
벤치에 잠깐 앉아 봐
느려지는 걸음 그림자의 속도를 따라
함께 걷는 태양과 발을 맞추고
뒤이을 달빛을 따라 돌아오고 싶은 걸
떠나볼래 When the weekend comes
I can do whatever I want
바람 따라 흩어진 cloud
더 자유롭게 we can go
아무 계획이 없어서 완벽한 plan
우연히 찾아낸 secret place
그곳에 두고 와 나만의 작은 짐
골목길 끝을 돌아 만나게 될
기분 좋은 surprise 또 설렘
두근두근 온종일
고소한 향기의 coffee shop
눈에 들어오는 예쁜 옷
Do it for the weekend
do it for the weekend
맘에 들어오는 걸 더는 망설이긴 싫은 걸
그래도 돼 When the weekend comes
I can do whatever I want
바람 따라 흩어진 cloud
더 자유롭게 we can go
가장 가까운 바다
혼자만의 영화관
그냥 이끌리는 대로 해도 괜찮으니까
훌쩍 떠나보는 drive
뚜벅 걸어도 좋아
뭐든 발길 닿는 대로 지금 떠나보려 해 oh"
68	MY BAG	(여자)아이들	"Red five diamonds in my bag
If you wanna see it, dance to a beat like that
My mama saw it and ‘Oh my god dang’
Ok I’ll show you what’s in my bag

Red five diamonds in my bag
If you wanna see it, dance to a beat like that
My mama saw it and ‘Oh my god dang’
Ok I’ll show you what’s in my bag

Uh oh I know you like it
My voice는 말해 뭐 해 God dang
Uh oh I just like it
태생부터 많은 Money 관심 없지

싸가지 없는 무대의 못된 범인의 눈빛
Fantasy란 말은 나를 빼고 다 금지
글러 먹은 너의 감 모두 나를 위한 밥
독한 Vibe sugar high 맛 좀 봐라 모두 Die

Rum-rum-rum Rumble 다 Crumble
이 Voice는 Drum에도 No lose
No no no lovely I’m Bumblebee
그냥 훅 들어갈 뿐 안 해 One, two

I never had 겁 a.k.a “Giant dog”
아차 하고 쓰다듬은 다쳐 이건 어쩜 범
I value my love 그만 두들겨 너
머리 빈 멍청이들과는 노는 물이 전혀 달라 Ye you know

Red five diamonds in my bag
If you wanna see it, dance to a beat like that
My mama saw it and ‘Oh my god dang’
Ok I’ll show you what’s in my bag

Red five diamonds in my bag
If you wanna see it, dance to a beat like that
My mama saw it and ‘Oh my god dang’
Ok I’ll show you what’s in my bag

가벼운 건 No no
공포에는 덤덤
나쁜 놈에겐 월월
덤벼봐라 Come come

I’m a cool lady 유일무이 캐릭
네가 벌벌 떠는 언니들 사이 Boss baby
넘치는 Jealousy
But that’s too early
내 피부부터 Young한 것은 언급하기도 귀찮네

존재가 Princess 어쩌면 범죄
넘치는 Bullet 맘을 관통해
향기는 Like rose and beautiful red
화가 난 가시의 그대 Blood ye

아직 읽지 않은 연락들은 앞으로도 읽지 않을 거니
헛된 희망들은 저기 버려두길
You know say no

Red five diamonds in my bag
If you wanna see it, dance to a beat like that
My mama saw it and ‘Oh my god dang’
Ok I’ll show you what’s in my bag

Red five diamonds in my bag
If you wanna see it, dance to a beat like that
My mama saw it and ‘Oh my god dang’
Ok I’ll show you what’s in my bag"
69	SMILEY (Feat. BIBI)	YENA (최예나)	"울지 마 울지 마
어린아이같이
웃는 게 웃는 게
이기는 거라고
You are so cute
You are so dumb
네가 하는 말이
오늘따라 듣기 싫어
하늘을 한 번 쳐다보고
내가 꾹 참고
맘을 다 잡고
네게 밝게 웃어줄게
And I say Hey
I’m gonna make it
Smile Smile Smile away
예쁘게 웃고 넘겨버릴래
Just Smile away
Just Smile away
아픔 슬픔 외로움 잊게
I say hey
I never wanna Cry Cry Cry all day
갑자기 눈물이 차오를 땐
Just Smile away
Just Smile away
안녕이라 말할래
With my Smiley face
비웃을 때 빼고
내 입꼬리는 Chillin’
나빠야지 살아남지 넌 뭐해
귀엽고 예쁘면 장땡이냐 근데
널 보고 있으니까 기분이가 좋네
삐뚤어진 성격 모두 나를 겁내
아주 그냥 확 너는 왜 계속 웃어
당황하는 틈을 타 날 무장해제
친구가 될 수 있을까 우리 둘이
내가 꾹 참고
맘을 다잡고
네게 밝게 웃어줄게
And I say Hey
I’m gonna make it
Smile Smile Smile away
예쁘게 웃고 넘겨버릴래
Just Smile away
Just smile away
아픔 슬픔 외로움 잊게
I say hey
I never wanna Cry Cry Cry all day
갑자기 눈물이 차오를 땐
Just Smile away
Just Smile away
안녕이라 말할래
With my Smiley face
사실 나의 맘속은 그게 아닌데
웃어넘기기에 난 너무 행복해
세상 환히 웃고 있는 내게
미친 세상은 날 미쳤다 하겠지
I don’t care
I don’t care
What you saying
한 번 사는 내 삶 I Smile it
Even it’s lonely & dark
Yeah I
And I say Hey
I’m gonna make it
Smile Smile Smile away
예쁘게 웃고 넘겨버릴래
Just Smile away
Just Smile away
아픔 슬픔 외로움 잊게
I say hey
I never wanna Cry Cry Cry all day
갑자기 눈물이 차오를 땐
Just Smile away
Just Smile away
안녕이라 말할래
With my Smiley face"
70	회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)	sokodomo	"내가 슬플 때마다
이 노래가 찾아와
세상이 둥근 것처럼 우린 동글동글

인생은 회전목마
우린 매일 달려가
언제쯤 끝나 난 잘 몰라

어머, 벌써 정신없이 달려왔어
Speed up 어제로 돌아가는 시곌 보다가
어려워 어른이 되어가는 과정이 Uh huh
On the road, 24 시간이 아까워 Uh huh
Big noise, Everything brand new
어렸을 때처럼 바뀌지 않는 걸
찾아 나섰단 말야 왜냐면 그때가 더 좋았어 난
So let me go back
타임머신 타고 I'll go back
승호가 좋았을 때처럼만

내가 슬플 때마다
이 노래가 찾아와
세상이 둥근 것처럼 우리
인생은 회전목마
우린 매일 달려가
언제쯤 끝나 난 잘 몰라

빙빙 돌아가는 회전목마처럼
영원히 계속될 것처럼
빙빙 돌아올 우리의 시간처럼
인생은 회전목마

어머 벌써 정신없이 달려왔어
Speed up 어제로 돌아가는 시곌 보다가
청춘까지 뺏은 현재
탓할 곳은 어디 없네
Twenty two 세에게 너무 큰 벽
그게 말로 하고 싶어도 어려웠어
가끔은 어렸을 때로 돌아가
불가능하단 건 나도 잘 알아
그 순간만 고칠 수 있다면
지금의 나는 더 나았을까

달려가는 미터기 돈은 올라가
기사님과 어색하게 눈이 맞아
창문을 열어보지만 기분은 좋아지지 않아
그래서 손을 밖으로 쭉 뻗어 쭉 뻗어
흔들리는 택시는 어느새
목적지에 도달했다고 해
방 하나 있는 내 집 안의
손에 있던 짐들은

내가 힘들 때마다
이 노래가 찾아와
세상이 둥근 것처럼 우리
인생은 회전목마
우린 계속 달려가
언제쯤 끝날지 잘 몰라

빙빙 돌아가는 회전목마처럼
영원히 계속될 것처럼
빙빙 돌아올 우리의 시간처럼
인생은 회전목마

I'm on a TV show
You would never even know
사실 얼마나 많이
불안했는지
정신없이 돌아서
어딜 봐야 할지 모르겠어
들리나요 여길 보란 말이

빙빙 돌아가는 회전목마처럼
영원히 계속될 것처럼
빙빙 돌아올 우리의 시간처럼
인생은 회전목마

빙빙 돌아가는 회전목마처럼
영원히 계속될 것처럼
빙빙 돌아올 우리의 시간처럼
인생은 회전목마"
71	무지개	임영웅	"오늘 하루 어땠었나요
많이 힘들었나요
쉬지 않고 달려왔던 길에서
나와 함께 쉬어가요
그냥 아무런 준비도 없이
떠나볼까요
평범해도 좋으니까
우리 함께 가요
Du Du Du Du Du
행복 가득 담은 배낭 하나 메고서
답답했던 일상과 도심을 벗어나
Du Du Du Du
Du Du Du Du
떠나볼래요
힘껏 살다 보니 무뎌져
헝클어진 머리도
괜찮다며 그댈 안아줄 사람
바로 그대 곁에 있죠
까만 선글라스 하나 챙겨서
떠나볼까요
평범해도 좋으니까
우리 함께 가요
Du Du Du Du Du
행복 가득 담은 배낭 하나 메고서
답답했던 일상과 도심을 벗어나
Du Du Du Du
Du Du Du Du
떠나볼래요
우리 함께 가요
Du Du Du Du Du
행복 가득 담은 배낭 하나 메고서
답답했던 일상과 도심을 벗어나
Du Du Du Du
Du Du Du Du
떠나볼래요
우리 함께 가요
Du Du Du Du Du
Du Du Du Du
Du Du Du Du
떠나볼래요
Du Du Du Du
Du Du Du Du
떠나볼래요
Du Du Du Du
Du Du Du Du
지금 떠나요"
72	Butter	방탄소년단	"Smooth like butter
Like a criminal undercover
Gon’ pop like trouble
Breakin’ into your heart like that

Cool shade stunner
Yeah I owe it all to my mother
Hot like summer
Yeah I’m makin’ you sweat like that

Break it down

Oh when I look in the mirror
I’ll melt your heart into 2
I got that superstar glow so
Do the boogie like

Side step right left to my beat (heartbeat)
High like the moon rock with me baby
Know that I got that heat
Let me show you ‘cause talk is cheap
Side step right left to my beat (heartbeat)
Get it, let it roll

Smooth like butter
Pull you in like no other
Don’t need no Usher
To remind me you got it bad

Ain’t no other
That can sweep you up like a robber
Straight up, I got ya
Makin’ you fall like that

Break it down

Oh when I look in the mirror
I’ll melt your heart into 2
I got that superstar glow so
Do the boogie like

Side step right left to my beat (heartbeat)
High like the moon rock with me baby
Know that I got that heat
Let me show you ‘cause talk is cheap
Side step right left to my beat (heartbeat)
Get it, let it roll

Get it, let it roll
Get it, let it roll

No ice on my wrist
I'm that n-ice guy
Got that right body and that right mind
Rollin' up to party got the right vibe
Smooth like butter
Hate us love us

Fresh boy pull up and we lay low
All the playas get movin’ when the bass low
Got ARMY right behind us when we say so
Let's go

Side step right left to my beat (heartbeat)
High like the moon rock with me baby
Know that I got that heat
Let me show you ‘cause talk is cheap
Side step right left to my beat (heartbeat)
Get it, let it roll

Smooth like (butter)
Cool shade (stunner)
And you know we don't stop

Hot like (summer)
Ain’t no (bummer)
You be like oh my god

We gon’ make you rock and you say (yeah)
We gon’ make you bounce and you say (yeah)

Hotter?
Sweeter!
Cooler?
Butter!

Get it, let it roll"
73	Celebrity	아이유	"세상의 모서리
구부정하게 커버린
골칫거리 outsider

걸음걸이, 옷차림,
이어폰 너머 play list
음악까지 다 minor

넌 모르지
떨군 고개 위
환한 빛 조명이
어딜 비추는지

느려도 좋으니
결국 알게 되길
The one and only
You are my celebrity

잊지마 넌 흐린 어둠 사이
왼손으로 그린 별 하나
보이니 그 유일함이 얼마나
아름다운지 말야
You are my celebrity

celebrity
You are my celebrity

지쳐버린 표정 마치
전원을 꺼놓은 듯이
심장소린 too quiet

네가 가진 반짝거림,
상상력, identity
까지 모조리 diet

넌 모르지
아직 못다 핀
널 위해 쓰여진
오래된 사랑시

헤매도 좋으니
웃음 짓게 되길
The one and only
You are my celebrity

잊지마 넌 흐린 어둠 사이
왼손으로 그린 별 하나
보이니 그 유일함이 얼마나
아름다운지 말야
You are my celebrity

발자국마다 이어진 별자리
그 서투른 걸음이 새겨놓은 밑그림
오롯이 너를 만나러 가는 길
그리로 가면 돼 점선을 따라

잊지마 이 오랜 겨울 사이
언 틈으로 피울 꽃 하나
보이니 하루 뒤 봄이 얼마나
아름다울지 말야
You are my celebrity

celebrity
You are my celebrity"
74	고백하는 취한밤에 (Prod. 2soo)	임재현	"오랜만에 이렇게 밖에서 술마시니까
니가 옆에 있는것같아
너는 무슨 생각해
니가 좋아하는 노래도
길거리에 나오고
사람들도 모두다 즐거워보이는데
지금 당장 너에게 전화를 걸고싶지만
아침 눈을 떴을때 후회할까봐 두려워
아직도 왜 넌 내맘 몰라 바보야
니가 보고싶어서 니가 생각이 나서
하루종일 니가 내 머리속을 걸어다녀
나 취해서 하는말 아냐
너를 좋아해
기분도 좀 그냥 그렇고
골목길을 걸었어
잠도 안오고 왠지 너를 볼것같아서
가로등의 불빛도 나를 비춰주는데
이 길끝에 니가 있음 얼마나좋을까
난 이렇게 니가 너무나 보고싶은데
넌 내가 조금도
보고싶지 않을까 두려워
아직도 왜 넌 내맘 몰라 바보야
니가 보고싶어서 니가 생각이 나서
하루종일 니가 내 머리속을 걸어다녀
나 취해서 하는말 아냐
나랑 사귈래
왜 니앞에만 서면 연습했던 그말도
잘 나오지 않는걸까
어떻게해야 내맘 전할 수 있을까
멋진 말도 못하고 서툰 나의 표현에
이런 내게서 더 멀어지지 않길바래
이것만큼은 진심이야
너를 사랑해"
75	잠수이별 (Prod. 코드 쿤스트)	우원재, meenoi (미노이)	"Wake up in the morning
원래 와야 할 문자가 저 어디
다른 데로 갔나 봐 저 멀리
난 찾는 중이야 넌 월리
난 경찰이고 넌 범인
추격전을 벌였어 길거리
너에게는 항상 난 뒷전이지
날 무슨 납치범 보듯이 해
Turn on your phone 어딨어
하루 종일 넌 비행기 모드
여권 없이 넌 떠 있어
온갖 드라마가 머릿속에
안 사라지는 1
손에 안 잡히는 일들
난 더 삐뚤
어져 더 더 하게돼
니가 질색 팔색 싫어하던 짓들
난 공중에 떠 있을래
백번 말해왔지 우리 사이에 대해
매일 아침 twenty six의 calling
안 받아 난 너의 전화는
방해하지 마 너와 내 사이
공백으로 가득 차
Please I'm sick of it Sick of it
I don't want to talk anymore
Please I'm sick of it Sick of it
You'll never take my heart
Please I'm sick of it Sick of it
I don't want to talk anymore
Please I'm sick of it Sick of it
You'll never take my heart
Where u at now
언제쯤 수영이 끝나
Where u at now
언제쯤 비행이 끝나
Where u at now
언제쯤 수영이 끝나
Where u at now
언제쯤 비행이 끝나
팔 벌리고 허수아비처럼
널 기다려 멍청이처럼
진동이 울리면 확인해 번호
근데 허경영 oh no
계속 뱉어 연기
너무 뿌연 바다 속이지
이 줄 끝엔 너가 보이지
난 자꾸만 나를 속이지
나는 나를 속여가며 말해
무슨 사정이 있겠지
폰을 잃어버렸거나 숙취가 있겠지
하루 종일 울었거나 늦잠이겠지
내가 유난 떠는 거겠지
너는 동굴 속에 살어
난 내 입을 벽에 박어
그 벽 너머에는 바다
이제 그만 전활 받어
우리 헤어진 사이로
난 더 깊이 내려가 너의 집착이
내 시야를 방해하기만 하니까
너 그만해 이제 네가 남긴
잔해들로 떠다니는
이 방안에 난 더 잠수해 있을래
Please I'm sick of it Sick of it
I don't want to talk anymore
Please I'm sick of it Sick of it
You'll never take my heart
Please I'm sick of it Sick of it
I don't want to talk anymore
Please I'm sick of it Sick of it
You'll never take my heart
Where u at now
언제쯤 수영이 끝나
Where u at now
언제쯤 비행이 끝나
Where u at now
언제쯤 수영이 끝나
Where u at now
언제쯤 비행이 끝나
Where u at now
언제쯤 수영이 끝나
Where u at now
언제쯤 비행이 끝나
Where u at now
언제쯤 수영이 끝나
Where u at now
언제쯤 비행이 끝나
난 아직 안 됐어 헤어질 준비가
바다로 떠난 네 비행기는 어디쯤일까
널 더 좋아하는 내가 죄인이지 그래
24시간 폰이 내 손에
잠수이별 이게 니 노래
잠수이별 이제 됐어
난 아직 안 됐어 헤어질 준비가
바다로 떠난 네 비행기는 어디쯤일까
널 더 좋아하는 내가 죄인이지 그래
24시간 폰이 내 손에
잠수이별 이게 니 노래
잠수이별 그만 됐어 이젠"
76	바라만 본다	MSG워너비(M.O.M)	"내가 너라면 다 알아볼 텐데
널 위할 사람 찾아낼 텐데
지난 오랜 시간 너의 그 곁을
지켜온 나라는 걸
내가 너였다면 참 행복할 텐데
한 사람을 다 가졌으니까
둔한 바보도 눈치챌 그 사랑을
너만 왜 모르니
너를 바라만 바라만 본다
외쳐 네 이름만 부른다
보고 싶은 맘에 너를 향한 그 발걸음
네 곁을 맴도는데
오늘도 그리고 그리워하다
애써 참았던 눈물이 흘러
그저 멀리서만 바라보다
또 소리쳐 네가 보고 싶다
네가 나라면 더 참 아팠을 텐데
슬픈 역할은 내가 맡을게
웃는 모습만 보이며 살아가 줘
내가 볼 수 있게
너를 바라만 바라만 본다
외쳐 네 이름만 부른다
보고 싶은 맘에 너를 향한 그 발걸음
네 곁을 맴도는데
오늘도 그리고 그리워하다
애써 참았던 눈물이 흘러
그저 멀리서만 바라보다 또 소리쳐
네가 보고 싶다
한 걸음 더 다가갈까
더 가까이 네게 갈까 OH
어제보다 더 내일 더 널 사랑해
I’ll make you love me someday
혼자 바라고 바라만 보다
울컥 그리움이 솟는다
바보 같은 맘에 하지 못한 그 한마디
널 사랑한다는 말
얼마나 그리고 그리워해야
내 맘 너의 곁에 닿게 될까
매일 하루 종일 너의 생각에 사무쳐
너무 보고 싶다"
77	OHAYO MY NIGHT	디핵 (D-Hack), PATEKO (파테코)	"너를 사랑하고 있어
너를 사랑하고 있어
자기야 날 사랑해주면 안 될까
말처럼 쉽지는 않은 걸 알지만
세게 날 안아주면 안 될까
오늘따라 세상이 무섭단 말이야
잠깐 인공호흡을 해주라
왠지 숨이 잘 안 쉬어져서 난
날 놓을 거면 과거에 놔주라
네가 있는 시간에서 죽어갈 거야
우리 그냥 결혼하면 안 될까
돈은 내가 열심히 벌 테니까
이 세상과 내가 눈감는 날
까지만 날 사랑한다 말해주라
내가 너를 사랑해도
네가 날 안 사랑해도
우린 나름대로 행복할 거야
내 방 천장에 그려 본
내 우주에게 물어본
말은 나를 사랑하면 안 될까
오사카나 오키나와의 바다
내 뮤비들을 찍었던 곳 말이야
같이 가자 약속했었잖아
그 약속이 깨질까 봐 겁이 나
WHUTUF이 결혼한다 하던 날
진짜 처음으로 걔가 부럽더라
하얀 웨딩드레스를 입은 아름다운
너와 영원을 말할 수 있을까
가족이 되어주라
내 집이 되어주라
나도 날 줄 테니 너도 널 주라
평생의 연인이야
네 말대로 말이야
그래 별과 우주잖아
날 사랑하지 않는다면
나의 사랑 반을 받아
남은 사랑의 반도
내가 채워줄 거야 꼭
내가 너를 사랑해도
네가 날 안 사랑해도
우린 나름대로 행복할 거야
내 방 천장에 그려 본
내 우주에게 물어본
말은 나를 사랑하면 안 될까
내가 너를 사랑해도
네가 날 안 사랑해도
우린 나름대로 행복할 거야
내 방 천장에 그려 본
내 우주에게 물어본
말은 나를 사랑하면 안 될까"
78	질주 (2 Baddies)	NCT 127	"Yes ah
Umm ah
2 Baddies 2 Baddies 1 Porsche
2 Baddies 2 Baddies 1 Porsche
몰라 난 네가 뭐라는지
있는 그대로의 멋을 봐
Don & Manner
One of a kind 파급은 나
Look in my eyes ya
내가 그린 기린 그림
속에서 move ya
창밖을 봐 문을 열어
바로 지금 ya
I gotta go 시간은 gold
we are the next ya
We pulling up and we cutting the line
빛이 안 나 It isn’t mine
타이밍 맞춰서 보이는 Sign
open the keys open the mind
Too fast ㅠㅠ
움직임은 blues clues
Everybody jealous
따라 해보던가 New rules
위험한 생각에 맞서봐
이번엔 피하지 않아 난
Let’s get away right now
더 빠르게 yaya
그려낸 모습을 마주하게
Zero to 100 on the highest speed
가는 길 앞엔 아무도 없지
내 삶은 나를 위한 고속도로 ay
Fill up the tank pour that
gasoline on me rah
2 Baddies 2 Baddies 1 Porsche
2 Baddies 2 Baddies 1 Porsche
몰라 난 네가 뭐라는지
있는 그대로의 멋을 봐
Don & Manner
2 Baddies 2 Baddies 1 Porsche
2 Baddies 2 Baddies 1 Porsche
네가 날 본다면 알잖아
우린 다채로운 색을 봐
Rainbow shade
Show me baby what’s your style
최고를 느껴본 다음
너의 세상은 달라질 거야
You gon’ wanna come and wow
다른 건 필요 없어
자꾸만 화려해질 거야 넌
Now you wanna ride these wheels
우린 계속 타
너도 원하겠지 feel (원해 feel)
Yeah we got no time to kill
배기음이 말해 많이 바빠 일
더 위로가 점점 위로 가
널 잃지 마 끝까지 달려가
고민하지 마 불안할 뿐이야
Better get out of my way you know
2 Baddies 2 Baddies 1 Porsche
2 Baddies 2 Baddies 1 Porsche
몰라 난 네가 뭐라는지
있는 그대로의 멋을 봐
Don & Manner
2 Baddies 2 Baddies 1 Porsche
2 Baddies 2 Baddies 1 Porsche
네가 날 본다면 알잖아
우린 다채로운 색을 봐
Rainbow shade
열린 도로 속에 하얗게
밝혀진 길이 여길 펼쳐 놔
가려진 세상에서 벗어나
run through the highway
Woah 끝이 없이 밟는 중
wanna go to the moon
무한대로 baby 가속되는 소리
Nothing can stand in our way ooh
Zip zip show me zip it up
what you got (Hey Hey)
Zip zip show me 주파수
맞추고 (Oh Hey)
Vroom vroom noise
저리 가라고 (Hey)
Why don’t we just drive away woah
2 Baddies 2 Baddies 1 Porsche
2 Baddies 2 Baddies 1 Porsche
몰라 난 네가 뭐라는지
있는 그대로의 멋을 봐
Don & Manner
2 Baddies 2 Baddies 1 Porsche
2 Baddies 2 Baddies 1 Porsche
네가 날 본다면 알잖아
우린 다채로운 색을 봐
Rainbow shade
na na na na na na na na
Zip zip it z- zip it and close
na na na na na na na na
2 Baddies 1 Porsche
2 Baddies 2 Baddies 1 Porsche
na na na na na na na na
Zip zip it z- zip it and close
na na na na na na na na na
2 Baddies 2 Baddies 1 Porsche"
79	Ready For Love	BLACKPINK	"오늘 하루도 내 머릿속은 오직 Y-O-U
Can’t get you out of my head
밤새 비워낸 병의 색은 BLUE

Yeah, 넌 도대체 몇 번을 내 맘 가져다 버린 건지 몰라
생각의 기차는 쉬지 않고 달려가 밤새 못 자

Yeah, 넌 아쉬울 때만 Yeah, 그저 아쉬울 때만 날
Yeah, 그래 아쉬울 때라도 너라면 좋으니까

이젠 기다릴 것도 없잖아
겁낼 필요도 없잖아
네 심장의 색깔을 보여줘

정말 내 세상엔 네가 필요해
두 눈을 떠봐 네 앞에 Here I am

I’m ready for love

Tell me when you’re ready
Cuz I’m already ready
Tell me when you’re ready
Cuz

I’m ready for love
I’m ready for love I’m ready for love
I’m ready for love
I’m ready for love

Ready or not, here I come and I’m running
Like it’s now or never, I never know if you want it
What if love wasn’t what it was supposed to be?
What if there’s no Romeo for me?
No hope, no roses, no more notes to read
So I keep my eyes closed to see
What I need is forever and forever baby, not sometimes
When you want it then you best come find me cuz I‘m ready

이젠 기다릴 것도 없잖아
겁낼 필요도 없잖아
네 심장의 색깔을 보여줘

정말 내 세상엔 네가 필요해
두 눈을 떠봐 네 앞에 Here I am

I’m ready for love

Tell me when you’re ready
Cuz I’m already ready
Tell me when you’re ready
Cuz

I’m ready for love
I’m ready for love I’m ready for love
I’m ready for love
I’m ready for love

네 영혼과 모든 것이
날 황홀하게 해 기뻐 웃게 해
나쁠 거 없잖아

네 모든 걸 날 위해 던질 때
널 지켜줄게

Lalala lalalala Lalala lalalala
Lalala lalalala Lalala lalalala"
80	언제나 사랑해	케이시 (Kassy)	"둘이 손잡고 걸을 때
마주 보며 또 웃을 때
사랑한다 말하지 않아도 알아
널 만나러 가는 길에
내 입가에 늘 환한 미소만이
흐르고 있어
사랑해 너를 사랑해
눈물 나도록 사랑해
저기 밤하늘의 별보다
보석보다 네가 더 소중해
얼마나 내가 얼마나 너를 사랑하는지
내 모든 걸 너에게 줄게
속상하고 힘이 들 때
열이 나고 아파할 때
옆에서 늘 힘이 돼준 사람 너야
집에 돌아오는 길에
내 귓가엔 늘 너의 음성만이
흐르고 있어
사랑해 너를 사랑해
눈물 나도록 사랑해
저기 밤하늘의 별보다
보석보다 네가 더 소중해
얼마나 내가 얼마나 너를 사랑하는지
내 모든 걸 너에게 줄게
세월 지나 많이 변했을 때
미운 나의 손을 잡아줄 사람
먼 훗날 아주 먼 훗날
우리 눈 감는 그날에
나를 사랑해 준 너에게 고맙다고
후회는 없다고
사랑해 나만의 사랑
다시 태어난대도
내 사랑은 너 하나뿐야
영원히 너를 사랑해"
81	Permission to Dance	방탄소년단	"It’s the thought of being young
When your heart’s just like a drum
Beating louder with no way to guard it
When it all seems like it’s wrong
Just sing along to Elton John
And to that feeling, we’re just getting started

When the nights get colder
And the rhythms got you falling behind
Just dream about that moment
When you look yourself right in the eye, eye, eye
Then you say

I wanna dance
The music’s got me going
Ain’t nothing that can stop how we move yeah
Let’s break our plans
And live just like we’re golden
And roll in like we’re dancing fools

We don’t need to worry
‘Cause when we fall we know how to land
Don’t need to talk the talk, just walk the walk tonight
‘Cause we don’t need permission to dance

There’s always something that’s standing in the way
But if you don’t let it faze ya
You’ll know just how to break
Just keep the right vibe yeah
‘Cause there’s no looking back
There ain’t no one to prove
We don’t got this on lock yeah

The wait is over
The time is now so let’s do it right
Yeah we’ll keep going
And stay up until we see the sunrise
And we’ll say

I wanna dance
The music’s got me going
Ain’t nothing that can stop how we move yeah
Let’s break our plans
And live just like we’re golden
And roll in like we’re dancing fools

We don’t need to worry
‘Cause when we fall we know how to land
Don’t need to talk the talk, just walk the walk tonight
‘Cause we don’t need permission to dance

Da na na na na na na
Da na na na na na na
Da na na na na na na
No, we don’t need permission to dance

Da na na na na na na
Da na na na na na na
Da na na na na na na

Well let me show ya
That we can keep the fire alive
‘Cause it’s not over
Till it’s over say it one more time
Say

I wanna dance
The music’s got me going
Ain’t nothing that can stop how we move yeah
Let’s break our plans
And live just like we’re golden
And roll in like we’re dancing fools

We don’t need to worry
‘Cause when we fall we know how to land
Don’t need to talk the talk, just walk the walk tonight
‘Cause we don’t need permission to dance"
82	주저하는 연인들을 위해	잔나비	"나는 읽기 쉬운 마음이야
당신도 스윽 훑고 가셔요
달랠 길 없는 외로운 마음 있지
머물다 가셔요 음
내게 긴 여운을 남겨줘요
사랑을 사랑을 해줘요
할 수 있다면 그럴 수만 있다면
새하얀 빛으로 그댈 비춰 줄게요
그러다 밤이 찾아오면
우리 둘만의 비밀을 새겨요
추억할 그 밤 위에 갈피를 꽂고선
남몰래 펼쳐보아요
나의 자라나는 마음을
못 본 채 꺾어 버릴 순 없네
미련 남길바엔 그리워 아픈 게 나아
서둘러 안겨본 그 품은 따스할 테니
그러다 밤이 찾아오면
우리 둘만의 비밀을 새겨요
추억할 그 밤 위에 갈피를 꽂고선
남몰래 펼쳐보아요
언젠가 또 그날이 온대도
우린 서둘러 뒤돌지 말아요
마주보던 그대로 뒷걸음치면서
서로의 안녕을 보아요
피고 지는 마음을 알아요
다시 돌아온 계절도
난 한 동안 새 활짝 피었다 질래
또 한번 영원히
그럼에도 내 사랑은
또 같은 꿈을 꾸고
그럼에도 꾸던 꿈을
난 또 미루진 않을거야"
